control.d,control.c,infected.d,infected.c,recovered.d,recovered.c,censor,d,t,fq
1,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,1,2,0
1,0,0,0,0,0,0,1,3,0
1,0,0,0,0,0,0,1,4,0
1,0,0,0,0,0,0,1,5,0
1,0,0,0,0,0,0,1,6,0
1,0,0,0,0,0,0,1,7,0
1,0,0,0,0,0,0,1,8,0
1,0,0,0,0,0,0,1,9,0
1,0,0,0,0,0,0,1,10,0
1,0,0,0,0,0,0,1,11,0
1,0,0,0,0,0,0,1,12,0
1,0,0,0,0,0,0,1,13,0
1,0,0,0,0,0,0,1,14,0
1,0,0,0,0,0,0,1,15,0
1,0,0,0,0,0,0,1,16,0
1,0,0,0,0,0,0,1,17,0
1,0,0,0,0,0,0,1,18,0
1,0,0,0,0,0,0,1,19,0
1,0,0,0,0,0,0,1,20,0
0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,0,1,0,2,0
0,1,0,0,0,0,1,0,3,0
0,1,0,0,0,0,1,0,4,0
0,1,0,0,0,0,1,0,5,0
0,1,0,0,0,0,1,0,6,0
0,1,0,0,0,0,1,0,7,0
0,1,0,0,0,0,1,0,8,0
0,1,0,0,0,0,1,0,9,0
0,1,0,0,0,0,1,0,10,0
0,1,0,0,0,0,1,0,11,0
0,1,0,0,0,0,1,0,12,0
0,1,0,0,0,0,1,0,13,0
0,1,0,0,0,0,1,0,14,0
0,1,0,0,0,0,1,0,15,0
0,1,0,0,0,0,1,0,16,0
0,1,0,0,0,0,1,0,17,0
0,1,0,0,0,0,1,0,18,0
0,1,0,0,0,0,1,0,19,0
0,1,0,0,0,0,1,0,20,500
0,0,1,0,0,0,0,1,1,1
0,0,1,0,0,0,0,1,2,3
0,0,1,0,0,0,0,1,3,17
0,0,1,0,0,0,0,1,4,24
0,0,1,0,0,0,0,1,5,34
0,0,1,0,0,0,0,1,6,42
0,0,1,0,0,0,0,1,7,48
0,0,1,0,0,0,0,1,8,39
0,0,1,0,0,0,0,1,9,34
0,0,1,0,0,0,0,1,10,24
0,0,1,0,0,0,0,1,11,16
0,0,1,0,0,0,0,1,12,8
0,0,1,0,0,0,0,1,13,7
0,0,1,0,0,0,0,1,14,2
0,0,1,0,0,0,0,1,15,1
0,0,1,0,0,0,0,1,16,0
0,0,1,0,0,0,0,1,17,0
0,0,1,0,0,0,0,1,18,0
0,0,1,0,0,0,0,1,19,0
0,0,1,0,0,0,0,1,20,0
0,0,0,1,0,0,1,0,1,0
0,0,0,1,0,0,1,0,2,0
0,0,0,1,0,0,1,0,3,0
0,0,0,1,0,0,1,0,4,0
0,0,0,1,0,0,1,0,5,0
0,0,0,1,0,0,1,0,6,0
0,0,0,1,0,0,1,0,7,0
0,0,0,1,0,0,1,0,8,0
0,0,0,1,0,0,1,0,9,0
0,0,0,1,0,0,1,0,10,0
0,0,0,1,0,0,1,0,11,0
0,0,0,1,0,0,1,0,12,0
0,0,0,1,0,0,1,0,13,0
0,0,0,1,0,0,1,0,14,0
0,0,0,1,0,0,1,0,15,0
0,0,0,1,0,0,1,0,16,0
0,0,0,1,0,0,1,0,17,0
0,0,0,1,0,0,1,0,18,0
0,0,0,1,0,0,1,0,19,0
0,0,0,1,0,0,1,0,20,0
0,0,0,0,1,0,0,1,1,0
0,0,0,0,1,0,0,1,2,0
0,0,0,0,1,0,0,1,3,0
0,0,0,0,1,0,0,1,4,0
0,0,0,0,1,0,0,1,5,0
0,0,0,0,1,0,0,1,6,0
0,0,0,0,1,0,0,1,7,0
0,0,0,0,1,0,0,1,8,0
0,0,0,0,1,0,0,1,9,0
0,0,0,0,1,0,0,1,10,0
0,0,0,0,1,0,0,1,11,0
0,0,0,0,1,0,0,1,12,0
0,0,0,0,1,0,0,1,13,0
0,0,0,0,1,0,0,1,14,0
0,0,0,0,1,0,0,1,15,0
0,0,0,0,1,0,0,1,16,0
0,0,0,0,1,0,0,1,17,0
0,0,0,0,1,0,0,1,18,0
0,0,0,0,1,0,0,1,19,0
0,0,0,0,1,0,0,1,20,0
0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,1,1,0,2,0
0,0,0,0,0,1,1,0,3,0
0,0,0,0,0,1,1,0,4,0
0,0,0,0,0,1,1,0,5,0
0,0,0,0,0,1,1,0,6,0
0,0,0,0,0,1,1,0,7,0
0,0,0,0,0,1,1,0,8,0
0,0,0,0,0,1,1,0,9,0
0,0,0,0,0,1,1,0,10,0
0,0,0,0,0,1,1,0,11,0
0,0,0,0,0,1,1,0,12,0
0,0,0,0,0,1,1,0,13,0
0,0,0,0,0,1,1,0,14,0
0,0,0,0,0,1,1,0,15,0
0,0,0,0,0,1,1,0,16,0
0,0,0,0,0,1,1,0,17,0
0,0,0,0,0,1,1,0,18,0
0,0,0,0,0,1,1,0,19,0
0,0,0,0,0,1,1,0,20,200
