block,treatment,replicate_cage,day,frequency,censored
1,cont,1,0,0,0
1,cont,1,1,0,0
1,cont,1,2,0,0
1,cont,1,3,0,0
1,cont,1,4,0,0
1,cont,1,5,2,0
1,cont,1,6,1,0
1,cont,1,7,3,0
1,cont,1,8,3,0
1,cont,1,9,6,0
1,cont,1,10,3,0
1,cont,1,11,4,0
1,cont,1,12,1,0
1,cont,1,13,0,0
1,cont,1,14,2,0
1,cont,1,14,7,1
1,cont,2,0,0,0
1,cont,2,1,0,0
1,cont,2,2,0,0
1,cont,2,3,0,0
1,cont,2,4,3,0
1,cont,2,5,2,0
1,cont,2,6,3,0
1,cont,2,7,3,0
1,cont,2,8,2,0
1,cont,2,9,4,0
1,cont,2,10,7,0
1,cont,2,11,5,0
1,cont,2,12,3,0
1,cont,2,13,3,0
1,cont,2,14,4,0
1,cont,2,14,6,1
1,cont,3,0,0,0
1,cont,3,1,1,0
1,cont,3,2,1,0
1,cont,3,3,1,0
1,cont,3,4,0,0
1,cont,3,5,0,0
1,cont,3,6,1,0
1,cont,3,7,2,0
1,cont,3,8,4,0
1,cont,3,9,8,0
1,cont,3,10,9,0
1,cont,3,11,4,0
1,cont,3,12,7,0
1,cont,3,13,3,0
1,cont,3,14,5,0
1,cont,3,14,7,1
1,cont,4,0,0,0
1,cont,4,1,0,0
1,cont,4,2,1,0
1,cont,4,3,1,0
1,cont,4,4,0,0
1,cont,4,5,1,0
1,cont,4,6,0,0
1,cont,4,7,0,0
1,cont,4,8,2,0
1,cont,4,9,8,0
1,cont,4,10,2,0
1,cont,4,11,6,0
1,cont,4,12,0,0
1,cont,4,13,2,0
1,cont,4,14,3,0
1,cont,4,14,5,1
1,Bb02,1,0,0,0
1,Bb02,1,1,2,0
1,Bb02,1,2,1,0
1,Bb02,1,3,0,0
1,Bb02,1,4,2,0
1,Bb02,1,5,0,0
1,Bb02,1,6,5,0
1,Bb02,1,7,7,0
1,Bb02,1,8,5,0
1,Bb02,1,9,8,0
1,Bb02,1,10,5,0
1,Bb02,1,11,0,0
1,Bb02,1,12,2,0
1,Bb02,1,13,2,0
1,Bb02,1,14,2,0
1,Bb02,1,14,1,1
1,Bb02,2,0,0,0
1,Bb02,2,1,0,0
1,Bb02,2,2,0,0
1,Bb02,2,3,0,0
1,Bb02,2,4,0,0
1,Bb02,2,5,2,0
1,Bb02,2,6,7,0
1,Bb02,2,7,17,0
1,Bb02,2,8,3,0
1,Bb02,2,9,8,0
1,Bb02,2,10,0,0
1,Bb02,2,11,4,0
1,Bb02,2,12,1,0
1,Bb02,2,13,0,0
1,Bb02,2,14,0,0
1,Bb02,2,14,0,1
1,Bb02,3,0,0,0
1,Bb02,3,1,0,0
1,Bb02,3,2,2,0
1,Bb02,3,3,0,0
1,Bb02,3,4,1,0
1,Bb02,3,5,0,0
1,Bb02,3,6,8,0
1,Bb02,3,7,14,0
1,Bb02,3,8,5,0
1,Bb02,3,9,6,0
1,Bb02,3,10,4,0
1,Bb02,3,11,2,0
1,Bb02,3,12,0,0
1,Bb02,3,13,1,0
1,Bb02,3,14,0,0
1,Bb02,3,14,0,1
1,Bb02,4,0,0,0
1,Bb02,4,1,0,0
1,Bb02,4,2,0,0
1,Bb02,4,3,0,0
1,Bb02,4,4,0,0
1,Bb02,4,5,1,0
1,Bb02,4,6,6,0
1,Bb02,4,7,11,0
1,Bb02,4,8,8,0
1,Bb02,4,9,7,0
1,Bb02,4,10,5,0
1,Bb02,4,11,1,0
1,Bb02,4,12,0,0
1,Bb02,4,13,1,0
1,Bb02,4,14,0,0
1,Bb02,4,14,1,1
1,Bb03,1,0,0,0
1,Bb03,1,1,0,0
1,Bb03,1,2,3,0
1,Bb03,1,3,0,0
1,Bb03,1,4,0,0
1,Bb03,1,5,14,0
1,Bb03,1,6,16,0
1,Bb03,1,7,6,0
1,Bb03,1,8,0,0
1,Bb03,1,9,1,0
1,Bb03,1,10,0,0
1,Bb03,1,11,0,0
1,Bb03,1,12,0,0
1,Bb03,1,13,0,0
1,Bb03,1,14,0,0
1,Bb03,1,14,0,1
1,Bb03,2,0,0,0
1,Bb03,2,1,2,0
1,Bb03,2,2,1,0
1,Bb03,2,3,0,0
1,Bb03,2,4,6,0
1,Bb03,2,5,20,0
1,Bb03,2,6,17,0
1,Bb03,2,7,7,0
1,Bb03,2,8,3,0
1,Bb03,2,9,0,0
1,Bb03,2,10,0,0
1,Bb03,2,11,0,0
1,Bb03,2,12,0,0
1,Bb03,2,13,0,0
1,Bb03,2,14,0,0
1,Bb03,2,14,0,1
1,Bb03,3,0,0,0
1,Bb03,3,1,1,0
1,Bb03,3,2,0,0
1,Bb03,3,3,0,0
1,Bb03,3,4,3,0
1,Bb03,3,5,13,0
1,Bb03,3,6,15,0
1,Bb03,3,7,1,0
1,Bb03,3,8,0,0
1,Bb03,3,9,0,0
1,Bb03,3,10,0,0
1,Bb03,3,11,0,0
1,Bb03,3,12,0,0
1,Bb03,3,13,0,0
1,Bb03,3,14,0,0
1,Bb03,3,14,0,1
1,Bb03,4,0,0,0
1,Bb03,4,1,1,0
1,Bb03,4,2,0,0
1,Bb03,4,3,0,0
1,Bb03,4,4,5,0
1,Bb03,4,5,20,0
1,Bb03,4,6,17,0
1,Bb03,4,7,4,0
1,Bb03,4,8,0,0
1,Bb03,4,9,0,0
1,Bb03,4,10,0,0
1,Bb03,4,11,0,0
1,Bb03,4,12,0,0
1,Bb03,4,13,0,0
1,Bb03,4,14,0,0
1,Bb03,4,14,0,1
1,Bb04,1,0,0,0
1,Bb04,1,1,1,0
1,Bb04,1,2,1,0
1,Bb04,1,3,1,0
1,Bb04,1,4,0,0
1,Bb04,1,5,1,0
1,Bb04,1,6,1,0
1,Bb04,1,7,2,0
1,Bb04,1,8,5,0
1,Bb04,1,9,8,0
1,Bb04,1,10,7,0
1,Bb04,1,11,4,0
1,Bb04,1,12,5,0
1,Bb04,1,13,2,0
1,Bb04,1,14,3,0
1,Bb04,1,14,1,1
1,Bb04,2,0,0,0
1,Bb04,2,1,0,0
1,Bb04,2,2,0,0
1,Bb04,2,3,0,0
1,Bb04,2,4,2,0
1,Bb04,2,5,1,0
1,Bb04,2,6,0,0
1,Bb04,2,7,3,0
1,Bb04,2,8,4,0
1,Bb04,2,9,8,0
1,Bb04,2,10,6,0
1,Bb04,2,11,5,0
1,Bb04,2,12,4,0
1,Bb04,2,13,2,0
1,Bb04,2,14,0,0
1,Bb04,2,14,2,1
1,Bb04,3,0,0,0
1,Bb04,3,1,0,0
1,Bb04,3,2,0,0
1,Bb04,3,3,0,0
1,Bb04,3,4,3,0
1,Bb04,3,5,1,0
1,Bb04,3,6,1,0
1,Bb04,3,7,10,0
1,Bb04,3,8,4,0
1,Bb04,3,9,4,0
1,Bb04,3,10,3,0
1,Bb04,3,11,2,0
1,Bb04,3,12,2,0
1,Bb04,3,13,1,0
1,Bb04,3,14,0,0
1,Bb04,3,14,0,1
1,Bb04,4,0,0,0
1,Bb04,4,1,0,0
1,Bb04,4,2,2,0
1,Bb04,4,3,0,0
1,Bb04,4,4,1,0
1,Bb04,4,5,1,0
1,Bb04,4,6,3,0
1,Bb04,4,7,6,0
1,Bb04,4,8,5,0
1,Bb04,4,9,4,0
1,Bb04,4,10,5,0
1,Bb04,4,11,3,0
1,Bb04,4,12,2,0
1,Bb04,4,13,0,0
1,Bb04,4,14,0,0
1,Bb04,4,14,4,1
2,cont,1,0,0,0
